"_type","additionalrooms","age","amenitiesavailable","amenitiesnot","area","balconies","bathroom","bhk","carpetarea","facing","floor","locality","neworold","opensides","overlooking","ownership","possesiondate","price","pricepersquare","projectname","roadfaceing","status","totalfloor"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens","","872 sq ft","","2","2 BHK Apartment ","","East","3, ","Hinjewadi","New","1","Garden View, Pool View, Road View","Freehold","Jun 2019","5691000","₹ 6,526/ sq ft ","Mittal High Mont","35 feet","Under Construction","25"
"dict","1 rooms( servant room )","5 - 6 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","1,690 sq ft","","4","3 BHK Apartment ","","South","9, ","Viman Nagar","Resale","1","Road View, Garden View","Freehold","","17500000","₹ 10,355/ sq ft ","Lunkad Sky Vie","","Ready to move,Unfurnished","15"
"dict","","2 - 3 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wifi","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","710 sq ft","1","1","1 BHK Apartment ","","South","11, ","Hinjewadi","New","2","","","","4137210","₹ 5,827/ sq ft ","Sheth Beverly Hills","60 feet","Ready to move","11"
"dict","2 rooms( study room, servant room )","0 - 1 year","Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,AC,Wardrobe,Refrigerator,Sofa,Washing Machine,Wifi,Dining Table,Gas connection,BED","Lift Available,Gymnasium,Sports Facility,TV","1,003 sq ft","2","1","2 BHK Apartment ","","South","1, ","Wagholi","New","1","Pool View, Garden View","Freehold","","4300000","₹ 4,287/ sq ft ","Diamond White Stone","","Ready to move","16"
"dict","1 rooms( study room )","10 - 11 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Landscaped Gardens","Sports Facility","1,650 sq ft","3","4","4 BHK Apartment ","","North","5, ","Wadgaon Sheri","Resale","1","Pool View, Garden View","Freehold","","13500000","₹ 8,181/ sq ft ","BramhaCorp Suncity","","Ready to move,Unfurnished","10"
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","833 sq ft","","2","2 BHK Apartment ","","NorthEast","1, ","Wagholi","Resale","","Garden View","Freehold","","3000000","₹ 3,601/ sq ft ","Pristine Neo City","","Ready to move,Unfurnished","11"
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","","1,048 sq ft","","2","2 BHK Apartment ","","NorthEast","5, ","Wagholi","Resale","","Garden View","Freehold","","5500000","₹ 5,248/ sq ft ","Bhandari Savannah","","Ready to move,Unfurnished","11"
"dict","","4 - 5 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Swimming Pool,Jogging Track,Landscaped Gardens","Gymnasium,Sports Facility","585 sq ft","","1","1 BHK Apartment ","","East","2, ","Kharadi","Resale","","Garden View","Freehold","","4500000","₹ 7,692/ sq ft ","Gulmohar Helios","","Ready to move,Unfurnished","8"
"dict","1 rooms( study room )","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility","760 sq ft","","2","1 BHK Apartment ","","East","1, ","Wagholi","Resale","","Garden View","Freehold","","4100000","₹ 5,394/ sq ft ","Dheeraj Jade Residences","","Ready to move,Unfurnished","10"
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","573 sq ft","","1","1 BHK Apartment ","372 sq ft","North","10, ","Wagholi","Resale","","Garden View","Freehold","","3200000","₹ 5,584/ sq ft ","Gaurdian Hill Shire","","Ready to move,Unfurnished","11"
"dict","","3 - 4 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","923 sq ft","","2","2 BHK Apartment ","","NorthEast","10, ","Wagholi","Resale","","Pool View, Garden View","Freehold","","4450000","₹ 4,821/ sq ft ","Manav Silver Springs","","Ready to move,Unfurnished","11"
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","858 sq ft","","2","2 BHK Apartment ","","North","9, ","Wagholi","New","","Garden View","Freehold","","3400000","₹ 3,962/ sq ft ","Pristine Neo City","","Ready to move","12"
"dict","2 rooms( servant room, pooja room )","13 - 14 years","Lift Available,Car Parking,24 X 7 Security,Wardrobe,Sofa,Wifi,Dining Table,BED","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Refrigerator,Gas connection","1,950 sq ft","2","3","3 BHK Apartment ","","East","5, ","Boat Club Road","Resale","1","Road View, Garden View","Freehold","","30000000","₹ 15,384/ sq ft ","","","Ready to move,Semi-Furnished","12"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","550 sq ft","1","1","1 BHK Apartment ","","East","Gr ","Bund Garden","Resale","","","Freehold","","7000000","₹ 12,727/ sq ft ","","","Ready to move,Unfurnished","4"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","1,100 sq ft","3","2","2 BHK Apartment ","","East","2, ","Bund Garden","Resale","","","Freehold","","13000000","₹ 11,818/ sq ft ","","","Ready to move,Unfurnished","4"
"dict","","12 - 13 years","Lift Available,Car Parking,24 X 7 Security","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","621 sq ft","2","1","1 BHK Apartment ","","South","4, ","Boat Club Road","Resale","","Garden View","Freehold","","6600000","₹ 10,628/ sq ft ","","","Ready to move,Unfurnished","4"
"dict","","3 - 4 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens","Jogging Track","660 sq ft","1","1","1 BHK Apartment ","","East","8, ","Wagholi","Resale","","Garden View","Freehold","","3000000","₹ 4,545/ sq ft ","JD Group and Pragati Group Shubharambh","","Ready to move,Unfurnished","8"
"dict","","2 - 3 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Golf Course,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","1,034 sq ft","","2","2 BHK Apartment ","","North","1, ","Wagholi","Resale","","Road View, Garden View","Freehold","","5400000","₹ 5,222/ sq ft ","Maple Aura County","","Ready to move,Unfurnished","10"
"dict","","8 - 9 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Golf Course,Rain Water Harvesting","Children's play area,Landscaped Gardens","561 sq ft","","1","1 BHK Apartment ","","NorthEast","4, ","Wagholi","Resale","","Garden View","Freehold","","3200000","₹ 5,704/ sq ft ","Kolte Patil Umang Homes Phase 1","","Ready to move,Unfurnished","7"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter","Children's play area,Sports Facility,Landscaped Gardens","2,900 sq ft","","5","4 BHK Villa ","","","Gr","Kharadi","Resale","","","Freehold","","15000000","₹ 5,172/ sq ft ","Builder Gera Greens SkyVilla","","Furnished",""
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Landscaped Gardens","Sports Facility","1,480 sq ft","","3","3 BHK Apartment ","","","Gr","Wadgaon Sheri","Resale","","","Freehold","","10700000","₹ 7,229/ sq ft ","BramhaCorp Suncity","","Unfurnished",""
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,300 sq ft","","2","2 BHK Apartment ","","","Gr","Kalyani Nagar","Resale","","","Freehold","","10999300","₹ 8,461/ sq ft ","Princeton Princeton Town","","Furnished",""
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,014 sq ft","","2","2 BHK Apartment ","","","Gr","Kalyani Nagar","Resale","","","Freehold","","8000000","₹ 7,889/ sq ft ","Kumar Kumar Kruti","","Unfurnished",""
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens","Children's play area,Sports Facility","1,600 sq ft","","3","3 BHK Apartment ","","","Gr","Kharadi","New","","","Freehold","","10000000","₹ 6,250/ sq ft ","Madhuban Satin Brick","","",""
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Sports Facility,Landscaped Gardens","1,650 sq ft","","3","3 BHK Apartment ","","","Gr","Mundhwa","Resale","","","Freehold","","14500000","₹ 8,787/ sq ft ","Goel Ganga Carnation","","Unfurnished",""
"dict","","0 - 1 year","24 X 7 Security,Children's play area,Vaastu Compliant,Maintenance Staff,Multipurpose Room,Landscaped Gardens","Lift Available,Power Backup,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","369 sq ft","1","1","1 RK Apartment ","300 sq ft","East","2, ","PuneSolapur Highway","Resale","1","","Freehold","","1000000","₹ 2,710/ sq ft ","Builder Anandgram wakhari","10 feet","Ready to move,Unfurnished","4"
"dict","","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Rain Water Harvesting,Landscaped Gardens,Wardrobe","AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","1,490 sq ft","","3","3 BHK Apartment ","","","1, ","Hinjewadi","New","","Road View","Freehold","","8940000","₹ 6,000/ sq ft ","Vascon Xotech","","Ready to move","12"
"dict","","14 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Rain Water Harvesting","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","800 sq ft","2","2","2 BHK Apartment ","","","","Kothrud","New","","","","","7500000","₹ 9,375/ sq ft ","Chintamani Happy Colony","","Ready to move",""
"dict","","0 - 1 year","","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","525 sq ft","1","1","1 BHK Independent Floor ","","","4, ","Pimple Gurav","New","","","","","2500000","₹ 4,761/ sq ft ","","","Ready to move","4"
"dict","","4 - 5 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","1,000 sq ft","","2","2 BHK Apartment ","","North","4, ","Wagholi","Resale","1","Road View, Garden View","Freehold","","4250000","₹ 4,250/ sq ft ","Kolte Patil Umang Primo","","Ready to move,Unfurnished","10"
"dict","2 rooms( study room, pooja room )","10 - 11 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM,Wardrobe,Sofa,Dining Table,Gas connection,BED","Children's play area,Sports Facility,Landscaped Gardens,AC,TV,Refrigerator,Wifi","1,220 sq ft","1","2","2 BHK Apartment ","","East","6, ","Viman Nagar","Resale","1","Pool View, Garden View","Freehold","","12900000","₹ 10,573/ sq ft ","Lalwani Vastu","","Ready to move,Furnished","7"
"dict","","16 years","Car Parking,24 X 7 Security,Vaastu Compliant","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","325 sq ft","","1","1 RK Apartment ","","West","3, ","Kothrud","Resale","1","","","","2500000","₹ 7,692/ sq ft ","The Indira Shankar Nagari","","Ready to move,Unfurnished","3"
"dict","","4 - 5 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","1,855 sq ft","","","3 BHK Villa ","","","Gr","Wagholi","New","","","","","7049000","₹ 3,800/ sq ft ","Kolte Patil Ivy Villa","","Ready to move",""
"dict","","8 - 9 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Golf Course,Rain Water Harvesting,Landscaped Gardens","","561 sq ft","","1","1 BHK Apartment ","","East","3, ","Wagholi","Resale","","Garden View","Freehold","","3100000","₹ 5,525/ sq ft ","Kolte Patil Umang Homes Phase 1","","Ready to move,Unfurnished","7"
"dict","","3 - 4 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","801 sq ft","","1","1 BHK Apartment ","","East","11, ","Wagholi","Resale","","Pool View, Garden View","Freehold","","3600000","₹ 4,494/ sq ft ","Karia Konark Meadows","","Ready to move,Unfurnished","12"
"dict","","3 - 4 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Rain Water Harvesting,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","","920 sq ft","","2","2 BHK Apartment ","","NorthEast","9, ","Wagholi","Resale","","Garden View","Freehold","","4300000","₹ 4,673/ sq ft ","PS Splendour County","","Ready to move,Unfurnished","10"
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens","Sports Facility","989 sq ft","","2","2 BHK Apartment ","","North","1, ","Wagholi","New","","Garden View","Freehold","","4400000","₹ 4,448/ sq ft ","Siddhant Divine","","Ready to move","9"
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","","980 sq ft","","2","2 BHK Apartment ","","East","1, ","Wagholi","Resale","","Garden View","Freehold","","4600000","₹ 4,693/ sq ft ","Belvalkar Solacia","","Ready to move,Unfurnished","12"
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","","4,930 sq ft","","","4 BHK Apartment ","","","Gr","Koregaon Park","New","","","","","78880000","₹ 16,000/ sq ft ","Marvel Aurum","","Ready to move",""
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Shopping Mall,School,Hospital,ATM","Landscaped Gardens","1,765 sq ft","","","3 BHK Apartment ","","","Gr","Kharadi","New","","","","","9266250","₹ 5,250/ sq ft ","Marvel Cerise","","Ready to move",""
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","1,271 sq ft","","","3 BHK Apartment ","","","Gr","Wagholi","New","","","","","5211100","₹ 4,100/ sq ft ","Suyog Nisarg","","Ready to move",""
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens","","610 sq ft","1","1","1 BHK Apartment ","432 sq ft","East","2, ","Tathawade","New","1","Corner, Garden View, Pool View, Road View","Freehold","Dec 2018","4078000","₹ 6,685/ sq ft ","Legacy Homes Legacy Urbania","40 feet","Under Construction","12"
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","","1,150 sq ft","","2","2 BHK Apartment ","","","","Wanowrie","Resale","","Pool View, Garden View","Co-Operative Society","","9500000","₹ 8,260/ sq ft ","","","Ready to move,Unfurnished",""
"dict","","9 - 10 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens,Wardrobe,Sofa,Dining Table,BED","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,AC,TV,Refrigerator,Wifi,Gas connection","1,060 sq ft","1","2","2 BHK Apartment ","","","5, ","Kalyani Nagar","Resale","","","Freehold","","11000000","₹ 10,377/ sq ft ","Raviraj Group Builders Fortaleza Apartment","","Ready to move,Semi-Furnished","9"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track,Intercom,Staff Quarter,Shopping Mall,School,Hospital,ATM","Club House,Sports Facility,Landscaped Gardens","1,049 sq ft","","3","3 BHK Apartment ","","","3","Viman Nagar","New","","","Freehold","","5769500","₹ 5,500/ sq ft ","Sudhir Armaan","","Under Construction",""
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens","","531 sq ft","1","1","1 BHK Apartment ","366 sq ft","East","1, ","Tathawade","New","1","Garden View, Pool View, Road View","Freehold","Dec 2018","4855000","₹ 9,143/ sq ft ","Goel Ganga Ganga Amber Ph I","35 feet","Under Construction","12"
"dict","","0 - 1 year","","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","648 sq ft","1","1","1 BHK Apartment ","480 sq ft","","","Wagholi","New","","","","","2490000","₹ 3,842/ sq ft ","","","Ready to move",""
"dict","","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Golf Course,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,ATM,AC,Gas connection","Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","495 sq ft","","1","1 BHK Apartment ","428 sq ft","NorthEast","18, ","Gahunje","New","2","Garden View, Pool View, Road View","Freehold","","6000000","₹ 12,121/ sq ft ","Lodha Belmondo","40 feet","Ready to move","23"
"dict","1 rooms( servant room )","4 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,AC,Wardrobe,TV,Wifi,Microwave,Dining Table,Gas connection,BED","Refrigerator,Sofa","2,745 sq ft","4","4","4 BHK Apartment ","","East","3, ","Pimple Nilakh","Resale","3","","","","21000000","₹ 7,650/ sq ft ","Kolte Patil 24K Glitterati","120 feet","Ready to move,Furnished","13"
"dict","","11 - 12 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Sports Facility,Landscaped Gardens","1,370 sq ft","","3","3 BHK Apartment ","","","8","Kharadi","Resale","","","Freehold","","7000000","₹ 5,109/ sq ft ","Goel Ganga Constella","","Ready to move,Unfurnished",""
"dict","","11 - 12 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","1,260 sq ft","","2","2 BHK Apartment ","","","9","Kharadi","Resale","","","Freehold","","6900000","₹ 5,476/ sq ft ","VTP Urban Nirvana","","Ready to move,Unfurnished",""
"dict","","11 - 12 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,575 sq ft","","3","3 BHK Apartment ","","East","9","Kalyani Nagar","Resale","","","Freehold","","10500000","₹ 6,667/ sq ft ","Kumar Kumar Kruti","","Ready to move,Unfurnished",""
"dict","","11 - 12 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,515 sq ft","","3","3 BHK Apartment ","","","8","Kalyani Nagar","Resale","","","Freehold","","11500000","₹ 7,591/ sq ft ","Kumar Kumar Kruti","","Ready to move,Unfurnished",""
"dict","","11 - 12 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","2,700 sq ft","","2","3 BHK Apartment ","","","10","Kalyani Nagar","Resale","","","Freehold","","27000000","₹ 10,000/ sq ft ","Vascon Marigold","","Ready to move,Unfurnished",""
"dict","","11 - 12 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens","Sports Facility","1,410 sq ft","","3","3 BHK Apartment ","","","1","Kharadi","Resale","","","Freehold","","12000000","₹ 8,510/ sq ft ","Kumar Primrose","","Ready to move,Furnished",""
"dict","","11 - 12 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Landscaped Gardens","Sports Facility","1,608 sq ft","","3","3 BHK Apartment ","","North","4","Wadgaon Sheri","Resale","","","Freehold","","11900000","₹ 7,400/ sq ft ","BramhaCorp Suncity","","Ready to move,Unfurnished",""
"dict","1 rooms( servant room )","10 years","Power Backup,24 X 7 Security,Maintenance Staff,Landscaped Gardens,BED","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,850 sq ft","2","4","3 BHK Apartment ","","North","2, ","Koregaon Park","Resale","","Garden View","Co-Operative Society","","27000000","₹ 14,594/ sq ft ","Vascon Orchids","","Ready to move,Unfurnished","10"
"dict","","2 years","","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","800 sq ft","1","1","2 BHK Independent Floor ","","","4, ","Pimple Gurav","New","","","","","3700000","₹ 4,625/ sq ft ","Builder Kaleshwari Construction","","Ready to move","4"
"dict","1 rooms( study room )","6 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Landscaped Gardens","Swimming Pool,Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","725 sq ft","1","2","1 BHK Apartment ","","NorthEast","2, ","Wanowrie","Resale","2","Garden View","Freehold","","5250000","₹ 7,241/ sq ft ","Builder Goel ganga samruddhi","20 feet","Ready to move,Semi-Furnished","6"
"dict","","1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","531 sq ft","1","1","1 BHK Apartment ","409 sq ft","North","4, ","Ambegaon Bk","New","1","Road View, Garden View","Freehold","","2159188","₹ 4,066/ sq ft ","","","Ready to move","5"
